一般化マックスウェルモデル	いっぱんかまっくるうぇる
ウェーバー・フェヒナーの法則	うぇーばー・ふぇひなーのほうそく
ウェーバー比	うぇーばーひ
液垂れ	えきだれ
液体	えきたい
SI 組立単位	えすあいくみたてたんい
エネルギー	えねるぎー
応力	おうりょく
応力緩和	おうりょくかんわ
オノマトペ	おのまとぺ
外力	がいりょく
片対数	かたたいすう
片対数グラフ	かたたいすうぐらふ
観察時間	かんさつじかん
関数	かんすう
緩和	かんわ
緩和挙動	かんわきょどう
緩和時間	かんわじかん
基本量	きほんりょう
偶力	ぐうりょく
組立単位	くみたてたんい
グラフ	ぐらふ
剛直な球	ごうちょくなきゅう
降伏値	こうふくち
固体	こたい
散乱関数	さんらんかんすう
シア・シックニング	しあしっくにんぐ
シア・シニング	しあしにんぐ
次元	じげん
仕事	しごと
指数	しすう
指数関数	しすうかんすう
伸長応力	しんちょうおうりょく
伸張ひずみ	しんちょうひずみ
静力学	せいりきがく
積分	せきぶん
線型	せんけい
せん断応力	せんだんおうりょく
せん断速度	せんだんそくど
せん断弾性率	せんだんだんせいりつ
せん断ひずみ	せんだんひずみ
せん断変形	せんだんへんけい
相互作用	そうごさよう
速度勾配	そくどこうばい
対数	たいすう
対数プロット	たいすうぷろっと
対数関数	たいすうかんすう
ダイラタント流体	だいらたんとりゅうたい
ダッシュポットモデル	だっしゅぽっともでる
単位	たんい
弾性	だんせい
弾性体	だんせいたい
弾性率	だんせいりつ
弾性論	だんせいろん
力	ちから
力の釣り合い	ちからのつりあい
チクソトロピック流体	ちくそとろぴっくりゅうたい
定積分	ていせきぶん
デボラ数	でぼらすう
動径分布	どうけいぶんぷ
動力学	どうりきがく
内力	ないりょく
ニュートン流動	にゅーとんりゅうどう
Newton の法則	にゅーとんのほうそく
ニュートン流体	にゅーとんりゅうたい
熱エネルギー	ねつえねるぎー
運動エネルギー	うんどうえねるきー
粘性	ねんせい
粘弾性	ねんだんせい
粘度	ねんど
バネモデル	ばねもでる
ひずみ	ひずみ
ひずみ速度	ひずみそくど
歪んだかご	ひずんだかご
微積分	びせきぶん
非線型	ひせんけい
引張弾性率	ひっぱりだんせいりつ
引張変形	ひっぱんへんけい
非ニュートン流体	ひにゅーとんりゅうたい
微分	びぶん
微分方程式	びぶんほうていしき
非保存力	ひほぞんりょく
ビンガム流体	びんがむりゅうたい
フック固体	ふっくこたい
Hooke の法則	ふっくのほうそく
物理モデル	ぶつりもでる
不定積分	ふていせきぶん
保存力	ほぞんりょく
ポテンシャル	ぽてんしゃる
摩擦力	まさつりょく
マックスウェルの方程式	まっくすうぇるのほうていしき
マックスウェルモデル	まっくすうぇるもでる
ミクロな応力	みくろなおうりょく
モデル化	もでるか
粒子	りゅうし
流体	りゅうたい
流体論	りゅうたいろん
流動	りゅうどう
流動特性	りゅうどうとくせい
量	りょう
両対数	りょうたいすう
両対数グラフ	りょうたいすうぐらふ
Lennard-Jones ポテンシャル	れなーどじょーんずぽてんしゃる
流れる  ながれる
手触り  てざわり
レオロジー  れおろじー
